experiment,agent_model,tier,subtest,run_number,judge_model,judge_number,criterion,criterion_score,criterion_achieved,criterion_max
2026-01-20T06-13-07-test-001,Sonnet 4.5,T3,01,1,claude-haiku-4-5,3,overall_quality,0.95,1.9,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-opus-4-5-20251101,1,functional,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-opus-4-5-20251101,1,code_quality,1.0,4.0,4.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-opus-4-5-20251101,1,proportionality,0.857,3.0,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-opus-4-5-20251101,1,build_pipeline,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-opus-4-5-20251101,1,overall_quality,0.925,1.85,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-sonnet-4-5-20250929,2,functional,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-sonnet-4-5-20250929,2,code_quality,1.0,4.0,4.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-sonnet-4-5-20250929,2,proportionality,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-sonnet-4-5-20250929,2,build_pipeline,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-sonnet-4-5-20250929,2,overall_quality,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-haiku-4-5,3,functional,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-haiku-4-5,3,code_quality,1.0,4.0,4.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-haiku-4-5,3,proportionality,0.857,3.0,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-haiku-4-5,3,build_pipeline,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T4,01,1,claude-haiku-4-5,3,overall_quality,0.85,1.7,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-opus-4-5-20251101,1,functional,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-opus-4-5-20251101,1,code_quality,1.0,3.0,3.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-opus-4-5-20251101,1,proportionality,0.857,3.0,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-opus-4-5-20251101,1,build_pipeline,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-opus-4-5-20251101,1,overall_quality,0.95,1.9,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-sonnet-4-5-20250929,2,functional,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-sonnet-4-5-20250929,2,code_quality,1.0,4.0,4.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-sonnet-4-5-20250929,2,proportionality,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-sonnet-4-5-20250929,2,build_pipeline,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-sonnet-4-5-20250929,2,overall_quality,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-haiku-4-5,3,functional,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-haiku-4-5,3,code_quality,1.0,4.0,4.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-haiku-4-5,3,proportionality,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-haiku-4-5,3,build_pipeline,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T5,01,1,claude-haiku-4-5,3,overall_quality,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-opus-4-5-20251101,1,functional,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-opus-4-5-20251101,1,code_quality,1.0,3.0,3.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-opus-4-5-20251101,1,proportionality,0.857,3.0,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-opus-4-5-20251101,1,build_pipeline,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-opus-4-5-20251101,1,overall_quality,0.95,1.9,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-sonnet-4-5-20250929,2,functional,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-sonnet-4-5-20250929,2,code_quality,1.0,4.0,4.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-sonnet-4-5-20250929,2,proportionality,0.857,3.0,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-sonnet-4-5-20250929,2,build_pipeline,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-sonnet-4-5-20250929,2,overall_quality,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-haiku-4-5,3,functional,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-haiku-4-5,3,code_quality,1.0,4.0,4.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-haiku-4-5,3,proportionality,1.0,3.5,3.5
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-haiku-4-5,3,build_pipeline,1.0,2.0,2.0
2026-01-20T06-13-07-test-001,Sonnet 4.5,T6,01,1,claude-haiku-4-5,3,overall_quality,1.0,2.0,2.0
